ID_a,ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_4,BILL_AMT1,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment_next_month
28465,28466,240000,2,1,1,40,-2,-2,-2,0,0,0,0,0,0,0,1
27622,27623,50000,2,1,2,23,-1,-1,-1,3430,2548,2321,4800,9810,660,2980,0
28376,28377,50000,2,2,1,36,2,2,2,46203,0,4700,0,2004,3500,0,0
10917,10918,200000,2,3,1,54,6,5,3,110185,0,0,0,0,0,0,0
27234,27235,240000,1,1,1,35,-1,-1,0,2024,2017,21817,1120,13434,22772,22820,0
15171,15172,60000,2,1,2,23,0,0,0,21972,3126,1392,5033,3601,5200,3647,0
962,963,200000,1,2,2,31,0,0,0,33781,3000,2000,2000,2000,3000,4000,0
26240,26241,250000,2,2,2,33,0,0,0,147934,5500,5600,7200,6500,6500,6000,0
13175,13176,130000,1,1,1,58,0,0,0,137671,4300,1500,0,0,1233,870,0
27087,27088,20000,1,3,1,39,-1,2,2,780,390,0,0,780,0,0,0
13398,13399,100000,1,3,2,50,0,0,0,95889,4200,2785,2291,1965,1465,62121,0
26090,26091,300000,2,1,1,38,-1,0,0,15230,1222,1249,1247,610,611,616,0
25324,25325,260000,2,3,2,27,0,0,0,106164,3834,4523,3154,2025,1709,2011,0
6808,6809,160000,2,2,2,30,0,0,0,124178,4507,4000,3500,3300,3500,3000,0
18127,18128,130000,1,1,2,37,0,0,0,91390,5000,3424,4193,1042,1100,1080,0
22887,22888,210000,2,1,2,36,-2,-2,-1,14516,4915,5292,8872,16876,5794,2415,0
18317,18318,40000,2,2,1,25,0,0,0,40633,1950,4300,2000,2938,0,3700,1
22375,22376,230000,2,1,2,31,-1,-1,-1,2155,2010,0,5908,283,133,0,0
21018,21019,10000,1,2,2,46,0,0,0,8866,1143,1218,1000,372,0,0,0
12802,12803,260000,2,2,1,53,1,2,2,118107,3656,15000,0,15000,0,15000,1
29140,29141,120000,2,1,1,51,0,0,0,117287,6500,6000,6000,4000,9000,0,0
18201,18202,490000,1,1,1,42,0,0,0,283484,10000,9002,10000,7000,7000,7000,0
2349,2350,130000,1,2,2,27,0,0,0,131406,5000,3572,3153,69200,2500,10000,1
27615,27616,120000,2,2,2,27,2,2,2,120649,6000,0,8500,0,11345,3700,1
17333,17334,310000,2,2,1,29,0,0,0,26597,1732,1408,1209,622,600,748,0
29782,29783,300000,1,3,1,32,-1,-1,0,590,2635,1461,2000,0,800,15,0
8828,8829,200000,1,1,1,40,-1,-1,-1,3061,13681,24,2991,6031,16028,4211,0
8810,8811,390000,2,1,1,64,1,-2,-2,0,0,0,0,0,8668,4490,1
2621,2622,210000,2,1,2,39,1,-2,-2,0,0,0,0,0,0,0,0
28635,28636,100000,2,3,1,35,2,2,2,93983,5500,8200,0,8000,0,8600,1
9570,9571,80000,2,3,1,48,2,2,0,63695,6056,652,517,0,27,5200,0
14181,14182,120000,1,2,1,52,0,0,0,125022,4509,9496,4252,4535,4304,4536,1
17661,17662,290000,2,2,1,49,-2,-2,2,-236,0,12000,0,0,0,0,0
13872,13873,50000,1,2,2,26,2,0,0,24724,25000,2010,796,957,1175,0,0
11203,11204,200000,1,2,2,31,0,0,0,173103,6500,6546,6600,7100,15000,0,0
3582,3583,250000,2,2,1,32,0,0,-2,39936,8666,16998,17504,0,0,0,0
18247,18248,350000,1,1,1,50,0,0,0,348938,11000,8500,15022,7000,20000,20000,0
14814,14815,230000,2,1,2,29,-1,-1,-1,8916,318,725,2592,3198,4260,4944,0
3295,3296,80000,2,2,1,37,2,2,0,80508,3100,0,2000,3000,0,75003,1
22106,22107,230000,2,1,2,29,0,0,0,4827,2000,3050,5000,5000,5000,5000,0
4401,4402,140000,2,2,2,50,0,0,0,95310,4000,3800,3800,7600,0,4000,0
29522,29523,50000,1,2,2,29,0,0,0,48632,4600,0,2200,900,800,800,0
2403,2404,320000,1,1,2,32,-1,2,-1,752,0,1948,0,0,0,0,1
15362,15363,330000,2,2,1,29,0,0,0,132702,6972,4989,6844,5470,5596,5577,0
23297,23298,130000,2,2,1,29,0,0,0,67260,4000,5000,4347,5000,3038,2135,0
25448,25449,210000,2,2,2,27,0,0,0,46066,1951,3034,3000,3000,3000,92,0
12579,12580,500000,1,1,2,33,0,0,0,49981,2200,2000,3000,2000,2657,85500,0
9577,9578,40000,2,1,1,27,0,0,0,40856,2023,1803,1425,1293,1300,1339,0
19669,19670,180000,2,2,1,41,0,0,0,9309,1119,1609,3000,2500,5000,5000,0
2109,2110,60000,2,2,2,22,0,0,-1,11718,1000,37325,20800,3500,1232,113,0
22148,22149,100000,2,2,2,29,-1,-1,-1,3262,3262,326,6198,326,326,326,0
28102,28103,180000,2,1,2,30,2,2,2,14038,3500,500,1200,1500,2000,0,1
26203,26204,210000,2,1,2,33,-2,-2,-2,1723,0,0,0,0,0,0,0
10709,10710,240000,2,1,1,38,-2,-2,-2,0,0,0,0,0,0,0,0
410,411,60000,2,1,2,23,1,2,2,29332,0,2709,1600,1400,1300,1200,1
6549,6550,20000,1,1,2,23,0,0,0,5565,1276,1288,1000,1000,2500,1000,0
10688,10689,240000,2,2,1,39,-2,-2,-2,11958,0,0,0,0,0,0,0
14840,14841,360000,1,2,1,34,0,0,0,6287,2505,5,12,0,2227,0,0
2189,2190,50000,2,2,2,22,0,0,0,18471,1329,1307,683,857,856,834,0
20545,20546,20000,1,2,1,30,4,3,2,19379,0,1433,0,2125,0,0,0
25660,25661,240000,2,2,1,34,-2,-2,-2,0,0,0,0,0,0,0,0
2816,2817,100000,1,2,1,49,0,0,0,69896,2588,2644,2656,2752,2850,2965,0
28282,28283,110000,2,2,1,41,0,0,0,104133,4500,2000,2000,5000,2023,806,1
12261,12262,270000,2,1,1,40,-1,-1,-1,19769,34813,43856,29682,33341,28413,1351,0
10231,10232,180000,2,2,2,35,-2,-2,-1,827,675,785,1809,2067,0,0,0
19897,19898,100000,2,2,1,49,1,-2,-2,0,0,0,0,0,0,0,0
12599,12600,150000,1,3,1,38,0,0,0,40441,2000,2000,1500,1500,1600,1600,0
28136,28137,50000,2,3,1,44,0,0,0,46363,1762,2311,2200,176,180,9769,0
26181,26182,120000,2,2,2,33,0,0,0,135770,5000,5000,4620,3200,3300,5000,0
23878,23879,60000,1,2,2,25,0,0,0,15614,1267,1500,1291,3000,2000,390,0
4585,4586,150000,2,1,1,31,1,-2,-2,0,0,0,0,0,0,0,0
18515,18516,20000,2,2,2,24,2,0,0,2968,1223,1318,1183,1000,0,0,1
12550,12551,160000,1,1,2,53,2,2,-1,1309,0,4582,0,0,2191,4825,1
23826,23827,130000,2,2,1,51,0,0,0,124619,6301,6000,5000,4000,3500,4000,0
21801,21802,50000,2,1,2,25,0,0,0,4705,5000,7861,1320,2000,6000,10000,0
23761,23762,180000,2,2,2,49,0,0,0,56677,1600,1600,1500,1000,968,1000,0
11355,11356,180000,2,3,1,41,-1,-1,-1,3600,5184,5719,0,0,7632,0,0
4417,4418,460000,2,3,1,42,0,0,-2,43792,1600,1000,0,1619,3795,954,0
12054,12055,80000,2,2,1,60,1,-1,-1,-2,761,597,0,1430,1309,1844,1
8965,8966,70000,2,2,1,31,-1,0,0,6895,10000,3000,4100,0,1000,0,1
29031,29032,50000,2,3,1,50,0,0,0,12164,1521,1243,1253,555,575,579,0
12950,12951,50000,2,2,2,30,-1,-1,-1,4166,2859,1452,1190,543,920,534,0
17544,17545,20000,2,2,1,35,2,0,2,5890,1500,2454,0,1000,350,0,1
4041,4042,20000,1,2,2,36,0,0,2,11423,2749,0,2000,0,0,1230,0
16573,16574,50000,1,2,3,30,0,0,0,47812,2536,2454,1588,780,803,673,0
1654,1655,50000,1,2,2,30,0,0,0,50507,4000,2220,1000,1500,1000,1500,0
28827,28828,320000,2,2,1,30,-2,-2,-2,1031,1895,2927,0,0,5426,3700,0
16706,16707,280000,1,2,2,33,0,0,0,265120,9104,9401,6001,6001,6201,6201,0
13788,13789,180000,2,1,2,25,0,0,0,112403,3500,3500,3000,3000,2300,2400,0
25396,25397,300000,2,2,2,26,-1,-1,-1,1121,699,3152,5180,1780,0,6200,0
21513,21514,30000,2,2,2,25,2,2,0,28518,0,2027,2000,1000,2000,2000,0
11976,11977,300000,1,1,2,27,-2,-2,-2,0,0,0,0,0,0,0,0
15219,15220,30000,2,2,1,38,-1,-1,-1,2805,0,0,48514,986,691,4645,0
